,year,month,day,hour,mean,min,max,ymdh
0,2021,10,17,6,94.0,94,94,2021-10-17 06:00:00
1,2021,10,17,7,100.0,100,100,2021-10-17 07:00:00
2,2021,10,17,8,101.0,101,101,2021-10-17 08:00:00
3,2021,10,17,9,104.0,104,104,2021-10-17 09:00:00
4,2021,10,17,10,106.0,106,106,2021-10-17 10:00:00
5,2021,10,17,11,106.0,106,106,2021-10-17 11:00:00
6,2021,10,17,12,101.0,101,101,2021-10-17 12:00:00
7,2021,10,17,13,101.0,101,101,2021-10-17 13:00:00
8,2021,10,17,14,100.0,100,100,2021-10-17 14:00:00
9,2021,10,17,15,91.0,91,91,2021-10-17 15:00:00
10,2021,10,17,16,99.0,99,99,2021-10-17 16:00:00
11,2021,10,17,17,95.0,95,95,2021-10-17 17:00:00
12,2021,10,17,19,83.0,82,84,2021-10-17 19:00:00
13,2021,10,17,20,76.0,76,76,2021-10-17 20:00:00
14,2021,10,17,21,73.0,73,73,2021-10-17 21:00:00
15,2021,10,17,22,74.0,74,74,2021-10-17 22:00:00
16,2021,10,17,23,79.0,79,79,2021-10-17 23:00:00
17,2021,10,18,0,80.0,80,80,2021-10-18 00:00:00
18,2021,10,18,1,81.0,81,81,2021-10-18 01:00:00
19,2021,10,18,2,105.0,105,105,2021-10-18 02:00:00
20,2021,10,18,3,102.0,102,102,2021-10-18 03:00:00
21,2021,10,18,4,90.0,90,90,2021-10-18 04:00:00
22,2021,10,18,5,90.0,90,90,2021-10-18 05:00:00
23,2021,10,18,6,97.0,97,97,2021-10-18 06:00:00
24,2021,10,18,7,94.0,94,94,2021-10-18 07:00:00
25,2021,10,18,8,89.0,89,89,2021-10-18 08:00:00
26,2021,10,18,9,113.0,113,113,2021-10-18 09:00:00
27,2021,10,18,10,95.0,95,95,2021-10-18 10:00:00
28,2021,10,18,11,91.0,91,91,2021-10-18 11:00:00
29,2021,10,18,12,92.0,92,92,2021-10-18 12:00:00
30,2021,10,18,13,87.0,87,87,2021-10-18 13:00:00
31,2021,10,18,14,86.0,86,86,2021-10-18 14:00:00
32,2021,10,18,15,85.0,85,85,2021-10-18 15:00:00
33,2021,10,18,16,102.0,102,102,2021-10-18 16:00:00
34,2021,10,18,17,81.0,81,81,2021-10-18 17:00:00
35,2021,10,18,22,93.0,93,93,2021-10-18 22:00:00
36,2021,10,18,23,89.0,89,89,2021-10-18 23:00:00
37,2021,10,19,0,86.0,86,86,2021-10-19 00:00:00
38,2021,10,19,1,92.0,92,92,2021-10-19 01:00:00
39,2021,10,19,2,90.0,90,90,2021-10-19 02:00:00
40,2021,10,19,3,95.0,95,95,2021-10-19 03:00:00
41,2021,10,19,4,95.0,95,95,2021-10-19 04:00:00
42,2021,10,19,5,114.0,114,114,2021-10-19 05:00:00
43,2021,10,19,6,102.0,102,102,2021-10-19 06:00:00
44,2021,10,19,7,108.0,108,108,2021-10-19 07:00:00
45,2021,10,19,8,107.0,107,107,2021-10-19 08:00:00
46,2021,10,19,9,92.0,92,92,2021-10-19 09:00:00
47,2021,10,20,0,100.0,100,100,2021-10-20 00:00:00
48,2021,10,20,1,101.0,101,101,2021-10-20 01:00:00
49,2021,10,20,2,99.0,99,99,2021-10-20 02:00:00
50,2021,10,20,3,101.0,101,101,2021-10-20 03:00:00
51,2021,10,20,4,99.0,99,99,2021-10-20 04:00:00
52,2021,10,20,5,96.0,96,96,2021-10-20 05:00:00
53,2021,10,20,6,90.0,90,90,2021-10-20 06:00:00
54,2021,10,20,7,94.0,94,94,2021-10-20 07:00:00
55,2021,10,20,8,89.0,89,89,2021-10-20 08:00:00
56,2021,10,20,9,101.0,101,101,2021-10-20 09:00:00
57,2021,10,20,10,104.0,104,104,2021-10-20 10:00:00
58,2021,10,20,12,89.0,88,90,2021-10-20 12:00:00
59,2021,10,20,13,77.0,77,77,2021-10-20 13:00:00
60,2021,10,20,14,82.0,82,82,2021-10-20 14:00:00
61,2021,10,20,16,81.0,81,81,2021-10-20 16:00:00
62,2021,10,20,17,78.0,71,85,2021-10-20 17:00:00
63,2021,10,20,18,79.0,79,79,2021-10-20 18:00:00
64,2021,10,20,19,71.0,71,71,2021-10-20 19:00:00
65,2021,10,20,20,79.0,79,79,2021-10-20 20:00:00
66,2021,10,20,21,69.0,69,69,2021-10-20 21:00:00
67,2021,10,20,22,71.0,71,71,2021-10-20 22:00:00
68,2021,10,20,23,117.0,117,117,2021-10-20 23:00:00
69,2021,10,21,0,105.0,105,105,2021-10-21 00:00:00
70,2021,10,21,1,111.0,111,111,2021-10-21 01:00:00
71,2021,10,21,2,107.0,107,107,2021-10-21 02:00:00
72,2021,10,21,3,114.0,114,114,2021-10-21 03:00:00
73,2021,10,21,4,111.0,111,111,2021-10-21 04:00:00
74,2021,10,21,5,111.0,111,111,2021-10-21 05:00:00
75,2021,10,21,6,97.0,97,97,2021-10-21 06:00:00
76,2021,10,21,7,90.0,90,90,2021-10-21 07:00:00
77,2021,10,21,8,86.0,86,86,2021-10-21 08:00:00
78,2021,10,21,9,94.0,94,94,2021-10-21 09:00:00
79,2021,10,21,10,96.0,96,96,2021-10-21 10:00:00
80,2021,10,21,11,101.0,101,101,2021-10-21 11:00:00
81,2021,10,21,12,103.0,103,103,2021-10-21 12:00:00
82,2021,10,21,13,90.0,90,90,2021-10-21 13:00:00
83,2021,10,21,16,78.0,78,78,2021-10-21 16:00:00
84,2021,10,21,17,76.0,76,76,2021-10-21 17:00:00
85,2021,10,21,18,73.0,73,73,2021-10-21 18:00:00
86,2021,10,21,20,75.0,75,75,2021-10-21 20:00:00
87,2021,10,21,21,72.0,72,72,2021-10-21 21:00:00
88,2021,10,21,22,92.0,92,92,2021-10-21 22:00:00
89,2021,10,21,23,91.0,91,91,2021-10-21 23:00:00
90,2021,10,22,0,88.0,88,88,2021-10-22 00:00:00
91,2021,10,22,1,84.0,84,84,2021-10-22 01:00:00
92,2021,10,22,2,81.0,81,81,2021-10-22 02:00:00
93,2021,10,22,3,83.0,83,83,2021-10-22 03:00:00
94,2021,10,22,4,87.0,87,87,2021-10-22 04:00:00
95,2021,10,22,5,93.0,93,93,2021-10-22 05:00:00
96,2021,10,22,6,109.0,109,109,2021-10-22 06:00:00
97,2021,10,22,7,91.0,91,91,2021-10-22 07:00:00
98,2021,10,22,8,92.0,92,92,2021-10-22 08:00:00
99,2021,10,22,9,93.0,93,93,2021-10-22 09:00:00
100,2021,10,22,10,93.0,93,93,2021-10-22 10:00:00
101,2021,10,22,11,93.0,93,93,2021-10-22 11:00:00
102,2021,10,22,12,95.0,95,95,2021-10-22 12:00:00
103,2021,10,22,13,91.0,91,91,2021-10-22 13:00:00
104,2021,10,22,14,88.0,88,88,2021-10-22 14:00:00
105,2021,10,22,15,91.0,91,91,2021-10-22 15:00:00
106,2021,10,22,16,84.0,84,84,2021-10-22 16:00:00
107,2021,10,22,17,83.0,83,83,2021-10-22 17:00:00
108,2021,10,22,18,79.0,79,79,2021-10-22 18:00:00
109,2021,10,22,20,65.0,65,65,2021-10-22 20:00:00
110,2021,10,22,21,75.0,75,75,2021-10-22 21:00:00
111,2021,10,22,22,73.0,73,73,2021-10-22 22:00:00
112,2021,10,22,23,69.0,69,69,2021-10-22 23:00:00
113,2021,10,23,0,90.0,90,90,2021-10-23 00:00:00
114,2021,10,23,1,80.0,80,80,2021-10-23 01:00:00
115,2021,10,23,3,93.0,93,93,2021-10-23 03:00:00
116,2021,10,23,5,101.0,101,101,2021-10-23 05:00:00
117,2021,10,23,6,96.0,96,96,2021-10-23 06:00:00
118,2021,10,23,7,94.0,94,94,2021-10-23 07:00:00
119,2021,10,23,8,86.0,86,86,2021-10-23 08:00:00
120,2021,10,23,9,86.0,86,86,2021-10-23 09:00:00
121,2021,10,23,10,112.0,112,112,2021-10-23 10:00:00
122,2021,10,23,11,107.0,107,107,2021-10-23 11:00:00
123,2021,10,23,12,104.0,104,104,2021-10-23 12:00:00
124,2021,10,23,13,91.0,91,91,2021-10-23 13:00:00
125,2021,10,23,14,86.0,86,86,2021-10-23 14:00:00
126,2021,10,23,15,86.0,86,86,2021-10-23 15:00:00
127,2021,10,23,16,74.0,74,74,2021-10-23 16:00:00
128,2021,10,23,17,79.0,79,79,2021-10-23 17:00:00
129,2021,10,23,18,69.0,69,69,2021-10-23 18:00:00
130,2021,10,23,19,68.0,68,68,2021-10-23 19:00:00
131,2021,10,23,20,67.0,67,67,2021-10-23 20:00:00
132,2021,10,23,21,67.0,67,67,2021-10-23 21:00:00
133,2021,10,23,22,65.0,65,65,2021-10-23 22:00:00
134,2021,10,23,23,66.0,66,66,2021-10-23 23:00:00
135,2021,10,24,0,71.0,71,71,2021-10-24 00:00:00
136,2021,10,24,1,70.0,70,70,2021-10-24 01:00:00
